| Trial | Time_ms | Comparisons | Swaps  | Accesses | Allocs |
|-------|----------|-------------|--------|-----------|--------|
| 1     | 4        | 587662      | 337787 | 0         | 0      |
| 2     | 1        | 607242      | 357368 | 0         | 0      |
| 3     | 1        | 609851      | 360004 | 0         | 0      |
| 4     | 1        | 607077      | 357189 | 0         | 0      |
| 5     | 1        | 607518      | 357637 | 0         | 0      |
| 1     | 3        | 603800      | 353789 | 0         | 0      |
| 2     | 1        | 639532      | 389661 | 0         | 0      |
| 3     | 1        | 605688      | 355577 | 0         | 0      |
| 4     | 1        | 616023      | 366158 | 0         | 0      |
| 5     | 1        | 603536      | 353732 | 0         | 0      |
